param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,mean_test_score,std_test_score,mean_train_score,rank_test_score
300,,2,2,log2,balanced_subsample,0.9958655480085256,0.0021195336734719994,0.9999934474881914,1
200,,2,1,0.5,balanced,0.995842123758668,0.002043689018923636,1.0,2
200,16,5,1,0.5,balanced,0.9957865144005593,0.0022336351147632465,1.0,3
200,12,5,1,0.5,balanced_subsample,0.9957555404547772,0.0021618005576464106,0.9999992743543024,4
200,16,2,4,sqrt,balanced,0.9957328496060582,0.0018830025378410295,0.9999727641077841,5
300,,10,4,sqrt,balanced_subsample,0.9956944121462815,0.0018783027250140127,0.9999731171987851,6
200,,10,1,log2,balanced,0.9956899629104251,0.001926371849723466,0.9999952791187091,7
100,16,10,2,sqrt,balanced,0.9956534051421474,0.0017742391406357272,0.9999821736597742,8
300,12,5,4,log2,balanced,0.9956373491032099,0.0017230163872509557,0.9999734574765444,9
300,,2,2,log2,balanced,0.9956210097932354,0.0018169924101854014,0.9999934486411614,10
100,12,10,4,sqrt,balanced_subsample,0.9955906135708003,0.0018704139092146931,0.9999622772469653,11
300,,5,2,0.5,balanced_subsample,0.995538294657413,0.002002566661542421,0.9999916241910766,12
200,12,10,2,log2,balanced_subsample,0.9955338370258651,0.0016502313943071994,0.9999785649995901,13
200,16,2,4,log2,balanced_subsample,0.9955245905522746,0.0018821838678843017,0.9999738487648853,14
100,16,5,4,sqrt,balanced_subsample,0.9954980353728725,0.0018934868043470523,0.9999695029201057,15
200,8,10,2,sqrt,balanced_subsample,0.9954910240740512,0.0017222933517582273,0.9999470817508781,16
100,8,2,4,0.5,balanced,0.995483746756246,0.0015551664758763017,0.9999535951056093,17
100,8,2,2,0.5,balanced,0.9954707806968922,0.0015670648632861368,0.9999760688950311,18
100,,10,1,sqrt,balanced,0.995423805144856,0.0016060176274538185,0.9999934608090254,19
200,8,5,1,log2,balanced,0.9953932752936191,0.001571353938562081,0.9999674016643313,20
100,8,10,2,0.5,balanced,0.9953715390861225,0.0014668656908731722,0.9999590344679249,21
100,12,2,1,sqrt,balanced,0.9953703791305637,0.0015835054163959885,0.9999981820905335,22
200,8,5,4,sqrt,balanced_subsample,0.9953403883003463,0.00146233564298291,0.9999366470268206,23
200,,5,1,sqrt,balanced,0.9953238022819929,0.0013562387371991382,1.0,24
200,,5,1,log2,balanced_subsample,0.9953110561455617,0.0015763210751695237,1.0,25
300,8,10,2,sqrt,balanced_subsample,0.9952612839934325,0.0013340909343465461,0.9999586555287004,26
200,8,2,2,sqrt,balanced,0.9952511562324973,0.0012797806471609092,0.9999633443732124,27
100,8,2,1,0.5,balanced,0.9951787822319244,0.0013486614830007448,0.9999862226914606,28
300,8,2,2,log2,balanced_subsample,0.9951443481896497,0.0011716124608932552,0.9999695332530715,29
100,16,10,2,0.5,balanced,0.9949791896679877,0.0009131966548777411,0.999980036313088,30
